id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,district,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
7129300520,20141013T000000,3,1,1180,5650,1,NO,suburb,normal,normal,1180,0,1955,0,98178,47.5112,-122.257,221900
6414100192,20141209T000000,3,2.25,2570,7242,2,NO,suburb,normal,normal,2170,400,1951,1991,98125,47.721,-122.319,538000
5631500400,20150225T000000,2,1,770,10000,1,NO,suburb,normal,normal,770,0,1933,0,98028,47.7379,-122.233,180000
2487200875,20141209T000000,4,3,1960,5000,1,NO,suburb,excellent,normal,1050,910,1965,0,98136,47.5208,-122.393,604000
1954400510,20150218T000000,3,2,1680,8080,1,NO,suburb,normal,high,1680,0,1987,0,98074,47.6168,-122.045,510000
7237550310,20140512T000000,4,4.5,,101930,1,NO,suburb,normal,luxury,,1530,2001,0,98053,47.6561,-122.005,1.23E+06
1321400060,20140627T000000,,2.25,,6819,2,NO,suburb,normal,normal,1715,0,1995,0,98003,47.3097,-122.327,257500
2008000270,20150115T000000,3,1.5,1060,9711,1,NO,suburb,normal,normal,1060,0,1963,0,98198,47.4095,-122.315,291850
2414600126,20150415T000000,3,,1780,,1,NO,suburb,normal,normal,1050,730,1960,0,98146,47.5123,-122.337,229500
3793500160,20150312T000000,,2.5,1890,6560,2,NO,suburb,normal,normal,,0,2003,0,98038,47.3684,-122.031,323000
1736800520,20150403T000000,3,2.5,3560,9796,1,NO,suburb,normal,high,1860,1700,1965,0,98007,47.6007,-122.145,662500
9212900260,20140527T000000,2,1,1160,6000,1,NO,suburb,good,normal,860,300,1942,0,98115,47.69,-122.292,468000
114101516,20140528T000000,3,1,1430,,1.5,NO,suburb,good,normal,1430,0,1927,0,98028,47.7558,-122.229,310000
6054650070,20141007T000000,,1.75,,9680,1,NO,suburb,good,normal,1370,0,1977,0,98074,47.6127,-122.045,400000
1175000570,20150312T000000,5,2,,4850,1.5,NO,suburb,normal,normal,,0,1900,0,98107,47.67,-122.394,530000
9297300055,20150124T000000,,3,2950,5000,2,NO,city,normal,high,1980,970,1979,0,98126,47.5714,-122.375,650000
1875500060,20140731T000000,,2,,14040,2,NO,suburb,normal,normal,1890,0,1994,0,98019,47.7277,-121.962,395000
6865200140,20140529T000000,,1,1600,,1.5,NO,suburb,good,normal,1600,0,1916,0,98103,47.6648,-122.343,485000
16000397,20141205T000000,2,1,1200,9850,1,NO,suburb,good,normal,1200,0,1921,0,98002,47.3089,-122.21,189000
7983200060,20150424T000000,3,1,,9774,1,NO,suburb,good,normal,1250,0,1969,0,98003,47.3343,-122.306,230000
6300500875,20140514T000000,4,1.75,1620,4980,1,NO,suburb,good,normal,860,760,1947,0,98133,47.7025,-122.341,385000
2524049179,20140826T000000,3,2.75,3050,44867,1,NO,mainStreet,normal,high,2330,720,1968,0,98040,47.5316,-122.233,2.00E+06
7137970340,20140703T000000,5,2.5,2270,6300,2,NO,suburb,normal,high,2270,0,1995,0,98092,47.3266,-122.169,285000
8091400200,20140516T000000,2,,1070,,1,NO,suburb,normal,normal,1070,0,1985,0,98030,47.3533,-122.166,252700
3814700200,20141120T000000,3,2.25,,6500,2,NO,suburb,good,high,2450,0,1985,0,98030,47.3739,-122.172,329000
1202000200,20141103T000000,3,2,1710,4697,1.5,NO,suburb,excellent,normal,1710,0,1941,0,98002,47.3048,-122.218,233000
1794500383,20140626T000000,,1.75,,2691,2,NO,suburb,normal,high,1750,700,1915,0,98119,47.6386,-122.36,937000
3303700376,20141201T000000,3,1,1400,1581,1.5,NO,suburb,excellent,high,1400,0,1909,0,98112,47.6221,-122.314,667000
5101402488,20140624T000000,3,1.75,1520,6380,1,NO,suburb,normal,normal,790,730,1948,0,98115,47.695,-122.304,438000
1873100390,20150302T000000,,2.5,2570,7173,2,NO,suburb,normal,high,2570,0,2005,0,98052,47.7073,-122.11,719000
8562750320,20141110T000000,3,2.5,,3980,2,NO,suburb,normal,high,,0,2003,0,98027,47.5391,-122.07,580500
2426039314,20141201T000000,2,1.5,1190,1265,3,NO,suburb,normal,normal,1190,0,2005,0,98133,47.7274,-122.357,280000
461000390,20140624T000000,4,1.75,2330,5000,1.5,NO,suburb,good,normal,1510,820,1929,0,98117,47.6823,-122.368,687500
7589200193,20141110T000000,3,1,1090,3000,1.5,NO,suburb,good,high,1090,0,1929,0,98117,47.6889,-122.375,535000
7955080270,20141203T000000,4,2.75,2060,6659,1,NO,suburb,normal,normal,1280,780,1981,0,98058,47.4276,-122.157,322500
9547205180,20140613T000000,3,2.5,,3060,1.5,NO,suburb,normal,high,1510,790,1930,2002,98115,47.6827,-122.31,696000
